"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C10","R82EC2150AA50K","R82EC2150AA50K","CAP_R82E-7P4X2P6-5P0_KEM","3",""
"C3,C6,C9","R82EC4100DQ70J","R82EC4100DQ70J","CAP_R82E-7P5X6P1-5P0_KEM","3",""
"C4,C5,C7","R82EC1100AA50J","R82EC1100AA50J","CAP_R82E-7P4X2P6-5P0_KEM","3",""
"C8,C12,C13,C14,C15","C1206X105K1RACAUTO","C1206X105K1RACAUTO","CAPC370195_180N_KEM","5",""
"C11","KRM55WR72A226MH01L","","CAPC6153X670N","1",""
"C20","C1206C474K1RECAUTO","C1206C474K1RECAUTO","CAPC340180_180N_KEM","1",""
"C21","C1210X474K1RACAUTO","C1210X474K1RACAUTO","CAPC370290_115N_KEM","1",""
"C22","C0805C103K1RACAUTO","C0805C103K1RACAUTO","CAPC220145_88N_KEM","1",""
"C23","C0805C104K1RECAUTO","C0805C104K1RECAUTO","CAPC220145_110N_KEM","1",""
"CR1","UPS115UE3/TR7","UPS115UE3/TR7","POWERMITE1_DO-216AA_MIS_MCH","1",""
"D1,D2,D3,D4,D5,D6","YQ20NL10SDTL","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/yq20nl10sdtl-e.pdf","YQ30NL10SEFHTL","6",""
"IC1,IC2,IC3","SN74LVC1G66DCKR","http://www.ti.com/lit/gpn/sn74lvc1g66","SOT65P210X110-5N","3",""
"L2","B82432T1274K000","B82432T1274K000","IND_EPCOS_B82432T_EPC","1",""
"Q1,Q2,Q3,Q4,Q5,Q6","R6020ENXC7G","https://fscdn.rohm.com//en/products/databook/datasheet/discrete/transistor/mosfet/r6020enx-e.pdf","TO254P500X1010X2050-3P","6",""
"R1,R3,R4,R5,R7,R8,R9,R11,R12","35501K0JT","35501K0JT","RES_3550_TEC","9",""
"R2,R6,R10,R13,R14,R15","VMS-R500-1.0-U","VMS-R500-1.0-U","RES_VMS-R500-1.0-U_IAT","6",""
"R16","RMCF1206JT1K00","RMCF1206JT1K00","STA_RMCF1206_STP","1",""
"R17","ERA-6AEB102V","ERA-6AEB102V","RC0805N_PAN","1",""
"R18","CRCW08053K01FKEA","CRCW08053K01FKEA","RES_CRCW_0805","1",""
"R20","ERJ-6ENF3243V","ERJ-6ENF3243V","RC0805N_PAN","1",""
"R21","RMCF2512FT332K","RMCF2512FT332K","RES_RMCF2512_STP","1",""
"R23","RNCF1206TKY10K0","RNCF1206TKY10K0","STA_RNCF1206_STP","1",""
"Rout1","RMCF1206FT3R00","RMCF1206FT3R00","RES_RMCF1206_STP","1",""
"U1,U2,U3","AD8418WBRZ","AD8418WBRZ","R_8_ADI","3",""
"U4","DRV8353RHRGZR","DRV8353RHRGZR","RGZ0048L","1",""
